Date Label,Measure Names,Measure Values
2018-7 (Jul),Total Bookings over SMAU,24.845930243
2018-8 (Aug),Total Bookings over SMAU,25.601936215
2018-9 (Sep),Total Bookings over SMAU,25.367089618
2018-10 (Oct),Total Bookings over SMAU,25.137762292
2018-11 (Nov),Total Bookings over SMAU,23.571432381
2018-12 (Dec),Total Bookings over SMAU,24.767502612
2019-1 (Jan),Total Bookings over SMAU,24.666995373
2019-2 (Feb),Total Bookings over SMAU,21.497377967
2019-3 (Mar),Total Bookings over SMAU,26.028035896
2019-4 (Apr),Total Bookings over SMAU,24.507303380
2019-5 (May),Total Bookings over SMAU,25.293792673
2019-6 (Jun),Total Bookings over SMAU,25.329180540
2019-7 (Jul),Total Bookings over SMAU,25.645861542
2019-8 (Aug),Total Bookings over SMAU,25.606307787
2019-9 (Sep),Total Bookings over SMAU,26.232297964
2019-10 (Oct),Total Bookings over SMAU,27.761347678
2019-11 (Nov),Total Bookings over SMAU,27.703849298
2019-12 (Dec),Total Bookings over SMAU,29.579676569
2020-1 (Jan),Total Bookings over SMAU,27.853300373
2020-2 (Feb),Total Bookings over SMAU,25.830684595
2020-3 (Mar),Total Bookings over SMAU,27.951386286
2020-4 (Apr),Total Bookings over SMAU,27.386582350
2020-5 (May),Total Bookings over SMAU,28.899769379
2020-6 (Jun),Total Bookings over SMAU,27.436613006
2020-7 (Jul),Total Bookings over SMAU,28.621913813
2020-8 (Aug),Total Bookings over SMAU,31.575483087
2020-9 (Sep),Total Bookings over SMAU,29.613480250
2020-10 (Oct),Total Bookings over SMAU,29.525291446
2020-11 (Nov),Total Bookings over SMAU,30.712461115
2020-12 (Dec),Total Bookings over SMAU,32.805012105
2021-1 (Jan),Total Bookings over SMAU,32.096213540
2021-2 (Feb),Total Bookings over SMAU,29.332310955
2021-3 (Mar),Total Bookings over SMAU,35.158128029
2021-4 (Apr),Total Bookings over SMAU,33.231008975
2021-5 (May),Total Bookings over SMAU,35.475550975
2021-6 (Jun),Total Bookings over SMAU,33.270911730
2021-7 (Jul),Total Bookings over SMAU,33.325179081
2021-8 (Aug),Total Bookings over SMAU,34.556393929
2021-9 (Sep),Total Bookings over SMAU,33.514153874
2021-10 (Oct),Total Bookings over SMAU,34.736374607
2021-11 (Nov),Total Bookings over SMAU,3.917372988
2015-2 (Feb),Total Bookings over SDAU/ABDPU,8.094460857
2015-3 (Mar),Total Bookings over SDAU/ABDPU,7.527521972
2015-4 (Apr),Total Bookings over SDAU/ABDPU,7.158994338
2015-5 (May),Total Bookings over SDAU/ABDPU,6.345708716
2015-6 (Jun),Total Bookings over SDAU/ABDPU,6.251782811
2015-7 (Jul),Total Bookings over SDAU/ABDPU,6.246712392
2015-8 (Aug),Total Bookings over SDAU/ABDPU,6.113474964
2015-9 (Sep),Total Bookings over SDAU/ABDPU,6.121348429
2015-10 (Oct),Total Bookings over SDAU/ABDPU,6.409521653
2015-11 (Nov),Total Bookings over SDAU/ABDPU,6.130815823
2015-12 (Dec),Total Bookings over SDAU/ABDPU,5.859867693
2016-1 (Jan),Total Bookings over SDAU/ABDPU,6.013936996
2016-2 (Feb),Total Bookings over SDAU/ABDPU,6.599839029
2016-3 (Mar),Total Bookings over SDAU/ABDPU,7.168227433
2016-4 (Apr),Total Bookings over SDAU/ABDPU,7.251025180
2016-5 (May),Total Bookings over SDAU/ABDPU,7.211248139
2016-6 (Jun),Total Bookings over SDAU/ABDPU,7.638821948
2016-7 (Jul),Total Bookings over SDAU/ABDPU,7.454686620
2016-8 (Aug),Total Bookings over SDAU/ABDPU,7.215943568
2016-9 (Sep),Total Bookings over SDAU/ABDPU,7.188623109
2016-10 (Oct),Total Bookings over SDAU/ABDPU,7.023896705
2016-11 (Nov),Total Bookings over SDAU/ABDPU,6.898646714
2016-12 (Dec),Total Bookings over SDAU/ABDPU,6.899138465
2017-1 (Jan),Total Bookings over SDAU/ABDPU,6.602552756
2017-2 (Feb),Total Bookings over SDAU/ABDPU,6.799820297
2017-3 (Mar),Total Bookings over SDAU/ABDPU,7.005763656
2017-4 (Apr),Total Bookings over SDAU/ABDPU,6.983839059
2017-5 (May),Total Bookings over SDAU/ABDPU,7.001350373
2017-6 (Jun),Total Bookings over SDAU/ABDPU,7.624384767
2017-7 (Jul),Total Bookings over SDAU/ABDPU,8.063019769
2017-8 (Aug),Total Bookings over SDAU/ABDPU,7.877940770
2017-9 (Sep),Total Bookings over SDAU/ABDPU,8.102526897
2017-10 (Oct),Total Bookings over SDAU/ABDPU,8.380365048
2017-11 (Nov),Total Bookings over SDAU/ABDPU,7.627107757
2017-12 (Dec),Total Bookings over SDAU/ABDPU,7.716668155
2018-1 (Jan),Total Bookings over SDAU/ABDPU,7.824925080
2018-2 (Feb),Total Bookings over SDAU/ABDPU,7.849390245
2018-3 (Mar),Total Bookings over SDAU/ABDPU,7.598351314
2018-4 (Apr),Total Bookings over SDAU/ABDPU,7.603696115
2018-5 (May),Total Bookings over SDAU/ABDPU,7.578918539
2018-6 (Jun),Total Bookings over SDAU/ABDPU,7.659424733
2018-7 (Jul),Total Bookings over SDAU/ABDPU,7.744469200
2018-8 (Aug),Total Bookings over SDAU/ABDPU,7.855039489
2018-9 (Sep),Total Bookings over SDAU/ABDPU,7.944990197
2018-10 (Oct),Total Bookings over SDAU/ABDPU,7.715252243
2018-11 (Nov),Total Bookings over SDAU/ABDPU,7.584346321
2018-12 (Dec),Total Bookings over SDAU/ABDPU,7.772602609
2019-1 (Jan),Total Bookings over SDAU/ABDPU,7.587923251
2019-2 (Feb),Total Bookings over SDAU/ABDPU,7.580099081
2019-3 (Mar),Total Bookings over SDAU/ABDPU,7.757850939
2019-4 (Apr),Total Bookings over SDAU/ABDPU,7.812159481
2019-5 (May),Total Bookings over SDAU/ABDPU,8.373434575
2019-6 (Jun),Total Bookings over SDAU/ABDPU,8.075468571
2019-7 (Jul),Total Bookings over SDAU/ABDPU,7.919527030
2019-8 (Aug),Total Bookings over SDAU/ABDPU,7.911682994
2019-9 (Sep),Total Bookings over SDAU/ABDPU,8.239530508
2019-10 (Oct),Total Bookings over SDAU/ABDPU,8.304209771
2019-11 (Nov),Total Bookings over SDAU/ABDPU,8.749906276
2019-12 (Dec),Total Bookings over SDAU/ABDPU,8.822802394
2020-1 (Jan),Total Bookings over SDAU/ABDPU,8.439756547
2020-2 (Feb),Total Bookings over SDAU/ABDPU,8.466961732
2020-3 (Mar),Total Bookings over SDAU/ABDPU,8.206654898
2020-4 (Apr),Total Bookings over SDAU/ABDPU,8.224794978
2020-5 (May),Total Bookings over SDAU/ABDPU,8.500262294
2020-6 (Jun),Total Bookings over SDAU/ABDPU,8.558733158
2020-7 (Jul),Total Bookings over SDAU/ABDPU,8.496303424
2020-8 (Aug),Total Bookings over SDAU/ABDPU,9.165761873
2020-9 (Sep),Total Bookings over SDAU/ABDPU,8.988613103
2020-10 (Oct),Total Bookings over SDAU/ABDPU,8.878415623
2020-11 (Nov),Total Bookings over SDAU/ABDPU,9.741906852
2020-12 (Dec),Total Bookings over SDAU/ABDPU,9.960190682
2021-1 (Jan),Total Bookings over SDAU/ABDPU,9.420312941
2021-2 (Feb),Total Bookings over SDAU/ABDPU,9.676213847
2021-3 (Mar),Total Bookings over SDAU/ABDPU,10.334173991
2021-4 (Apr),Total Bookings over SDAU/ABDPU,10.326615186
2021-5 (May),Total Bookings over SDAU/ABDPU,10.421628048
2021-6 (Jun),Total Bookings over SDAU/ABDPU,10.486088409
2021-7 (Jul),Total Bookings over SDAU/ABDPU,9.942665287
2021-8 (Aug),Total Bookings over SDAU/ABDPU,10.120899663
2021-9 (Sep),Total Bookings over SDAU/ABDPU,10.537838894
2021-10 (Oct),Total Bookings over SDAU/ABDPU,10.277603969
2021-11 (Nov),Total Bookings over SDAU/ABDPU,9.408761370
2015-2 (Feb),Ad Bookings,0
2015-3 (Mar),Ad Bookings,0
2015-4 (Apr),Ad Bookings,0
2015-5 (May),Ad Bookings,0
2015-6 (Jun),Ad Bookings,0
2015-7 (Jul),Ad Bookings,0
2015-8 (Aug),Ad Bookings,0
2015-9 (Sep),Ad Bookings,0
2015-10 (Oct),Ad Bookings,0
2015-11 (Nov),Ad Bookings,0
2015-12 (Dec),Ad Bookings,1891.07668833
2016-1 (Jan),Ad Bookings,29882.90476217
2016-2 (Feb),Ad Bookings,39781.72321336
2016-3 (Mar),Ad Bookings,46935.54965389
2016-4 (Apr),Ad Bookings,48501.48430496
2016-5 (May),Ad Bookings,50862.75700247
2016-6 (Jun),Ad Bookings,71891.316531940
2016-7 (Jul),Ad Bookings,73221.89537139
2016-8 (Aug),Ad Bookings,57235.12346619
2016-9 (Sep),Ad Bookings,46670.96211118
2016-10 (Oct),Ad Bookings,60048.153704180
2016-11 (Nov),Ad Bookings,60720.732169600
2016-12 (Dec),Ad Bookings,82195.92716167
2017-1 (Jan),Ad Bookings,72911.11296823
2017-2 (Feb),Ad Bookings,44707.05233213
2017-3 (Mar),Ad Bookings,47951.53785032
2017-4 (Apr),Ad Bookings,50060.87275403
2017-5 (May),Ad Bookings,52678.64642072
2017-6 (Jun),Ad Bookings,63894.71227744
2017-7 (Jul),Ad Bookings,127301.0389807
2017-8 (Aug),Ad Bookings,125868.3356
2017-9 (Sep),Ad Bookings,125543.48611111
2017-10 (Oct),Ad Bookings,142612.85887542
2017-11 (Nov),Ad Bookings,110989.28314548
2017-12 (Dec),Ad Bookings,105405.25845965
2018-1 (Jan),Ad Bookings,114842.54019806
2018-2 (Feb),Ad Bookings,108151.90148985
2018-3 (Mar),Ad Bookings,92789.150700970
2018-4 (Apr),Ad Bookings,77664.027110750
2018-5 (May),Ad Bookings,96118.82122136
